sample-id,label
1258,1
1301,0
1203,0
1068,0
1490,1
1145,0
1457,1
1048,0
1001,1
1495,1
1377,0
1502,0
1221,0
1205,0
1384,0
1212,0
1078,0
1264,0
1476,0
1193,0
1112,1
1267,1
1426,1
1179,0
2027,0
1103,0
1249,1
1115,1
1487,1
1154,1
1219,1
1250,0
1368,0
2012,0
1479,0
1397,0
1042,1
1177,0
1359,1
1126,1
1157,1
1247,0
1290,0
2038,1
1226,0
1353,0
1140,1
1380,0
1085,1
1488,1
1118,1
1056,0
1026,1
1248,0
1053,0
1491,1
1030,1
1410,1
1020,0
1037,1
1283,0
1325,1
1340,0
1111,0
1276,0
1230,0
1279,0
1422,0
1275,0
1265,0
1150,0
1046,0
1149,0
1348,1
1018,1
1450,1
1419,1
1497,0
1033,0
1039,1
1428,0
1059,1
1207,0
1130,1
1028,0
1074,1
1109,0
1114,0
1032,0
1339,0
1493,0
1013,1
1381,0
2020,1
1414,0
1123,0
1156,1
1092,0
1023,0
1371,1
1168,0
1152,0
1105,1
1100,1
1288,1
1073,1
1122,0
1305,1
1014,1
1486,1
1021,1
1055,0
1438,1
1403,0
1116,0
1505,0
1200,0
1439,0
1382,1
1240,0
2037,0
1097,1
1017,1
1270,1
1401,1
1437,1
1341,1
1005,0
1506,1
1136,1
1445,0
1366,0
1347,1
1159,0
1392,1
1398,1
1478,0
1094,0
1480,1
1373,1
1061,0
1465,0
1246,0
1379,0
1406,1
1185,1
1355,0
1306,0
1483,0
1342,1
1234,0
1470,1
1172,1
1324,0
1180,1
1376,1
1041,1
1442,0
1322,0
1025,0
1313,0
1080,1
1166,0
1029,1
1299,0
1338,0
1113,0
1155,0
1303,1
1175,0
1421,0
1374,1
1330,1
1195,0
1462,0
1503,0
2021,0
1088,0
1292,0
1387,0
1153,0
1162,0
2032,0
1326,0
1049,0
1057,0
1147,1
1317,0
1363,0
1232,0
1360,1
1174,0
1004,0
1245,1
1257,0
1304,0
2009,1
1132,0
1106,0
1307,0
1138,1
1077,1
1239,1
1467,1
1370,1
1002,1
1308,1
1110,0
1314,0
1269,0
1331,0
1332,0
2004,1
1236,0
1309,0
1183,0
1259,0
1170,0
1459,0
1022,0
1213,1
2029,0
1019,1
1378,0
1255,0
1420,0
2043,1
1143,0
1211,1
1375,0
1181,0
1494,1
1124,0
1413,0
2040,1
1454,0
1337,0
1416,1
1489,0
1323,0
1148,0
1350,1
1473,0
1315,1
1412,1
1316,0
1456,0
1336,0
1104,1
1424,1
2031,0
1235,0
1081,0
2003,1
1399,1
1120,0
1346,0
1201,0
1388,0
1237,0
1271,0
1391,0
2002,1
1127,0
1389,0
1202,1
1468,1
1423,0
1393,0
1196,1
1204,0
1008,0
1263,0
1298,0
1464,0
1433,0
2011,1
1163,0
1224,0
1167,0
1169,0
1310,1
1447,1
1300,0
1208,0
2033,0
1050,0
1272,0
1297,0
1319,0
1096,0
1194,0
1407,0
1069,0
1499,0
1463,0
1296,0
1274,1
1343,0
1400,1
1099,1
1256,0
1035,1
2023,1
1485,1
1031,0
1176,0
1045,0
1192,0
1409,1
1460,0
2044,1
1466,1
1117,1
1040,1
1161,1
1090,1
1484,0
1441,0
2041,0
1344,0
1197,1
1385,0
1065,1
1229,1
1206,0
